frames,detections,state
1,"[[433.14227294921875, 317.925048828125, 68.46954345703125, 86.6229248046875], [907.2923583984375, 404.44317626953125, 66.453369140625, 82.71142578125], [681.479736328125, 518.1179809570312, 70.3778076171875, 90.7325439453125], [440.86712646484375, 528.936279296875, 68.22802734375, 87.88037109375], [912.1441650390625, 608.98779296875, 66.2255859375, 82.9737548828125], [210.72996520996094, 432.09857177734375, 63.452606201171875, 83.2232666015625], [904.2882690429688, 298.5966796875, 64.030029296875, 84.9798583984375], [559.67236328125, 525.3251342773438, 69.056640625, 92.1116943359375], [317.7254638671875, 427.954833984375, 72.25189208984375, 84.25634765625], [555.5819091796875, 417.14251708984375, 71.9873046875, 87.1800537109375], [209.09619140625, 333.9896240234375, 63.68829345703125, 86.3924560546875], [912.7577514648438, 507.53460693359375, 67.967041015625, 85.311279296875], [1012.365234375, 293.8074645996094, 58.802001953125, 86.39630126953125], [675.2451782226562, 414.8543701171875, 70.011962890625, 85.9803466796875], [792.254150390625, 407.5491638183594, 68.101806640625, 89.49713134765625], [1018.4861450195312, 498.3218994140625, 62.3687744140625, 86.1817626953125], [434.09613037109375, 423.77130126953125, 70.9501953125, 90.8052978515625], [326.2088623046875, 531.8074951171875, 67.834716796875, 85.203125], [553.6004028320312, 312.65264892578125, 69.7757568359375, 85.46435546875], [317.05987548828125, 323.9407958984375, 67.1744384765625, 86.591064453125], [451.5268859863281, 634.1941528320312, 62.61614990234375, 81.95361328125], [797.2918090820312, 513.2086181640625, 68.5985107421875, 87.256103515625], [1016.7761840820312, 398.099853515625, 60.8897705078125, 86.8704833984375], [799.455810546875, 619.6085815429688, 66.947998046875, 84.3668212890625], [566.1094970703125, 628.3146362304688, 69.19384765625, 83.8831787109375], [672.3512573242188, 308.1311950683594, 74.0777587890625, 87.59002685546875], [229.27658081054688, 631.2239990234375, 62.32586669921875, 79.1611328125], [790.6243896484375, 302.53106689453125, 64.1917724609375, 81.7198486328125], [217.54434204101562, 535.195556640625, 65.39971923828125, 93.302001953125], [1015.837646484375, 599.5594482421875, 55.906494140625, 81.885986328125], [683.9300537109375, 623.6002807617188, 72.5439453125, 86.5843505859375], [335.6002197265625, 633.2962646484375, 63.8265380859375, 82.75244140625]]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
2,"[[907.3297119140625, 404.6610107421875, 66.637939453125, 82.6171875], [433.25579833984375, 318.2304992675781, 68.635009765625, 86.8260498046875], [681.693359375, 518.0631713867188, 70.9052734375, 91.456298828125], [210.79055786132812, 432.2635192871094, 63.64263916015625, 82.74945068359375], [440.6517639160156, 529.0318603515625, 68.07135009765625, 87.59982299804688], [208.93136596679688, 334.097412109375, 63.74273681640625, 86.078125], [904.24951171875, 298.693115234375, 63.962158203125, 85.107177734375], [317.66204833984375, 428.0167236328125, 72.26751708984375, 83.967529296875], [912.13623046875, 608.7879028320312, 66.2119140625, 82.9788818359375], [555.49609375, 417.3605651855469, 72.146484375, 87.6663818359375], [559.6739501953125, 525.4713134765625, 69.1727294921875, 91.710205078125], [1018.478271484375, 498.10504150390625, 62.419677734375, 85.5003662109375], [1012.3226928710938, 293.83984375, 58.8155517578125, 86.2518310546875], [675.1343383789062, 414.8667907714844, 69.6324462890625, 85.55975341796875], [434.1465148925781, 423.75494384765625, 70.55487060546875, 90.75830078125], [912.88525390625, 507.509033203125, 68.08154296875, 85.662841796875], [326.0, 531.521728515625, 68.165771484375, 85.265625], [790.4182739257812, 407.6543273925781, 68.0050048828125, 89.933837890625], [553.52490234375, 312.7008361816406, 69.887939453125, 85.29144287109375], [316.9476318359375, 323.9573974609375, 67.1539306640625, 86.429443359375], [799.3460693359375, 619.6668090820312, 66.8349609375, 84.4835205078125], [1016.7064208984375, 397.8318786621094, 61.204833984375, 86.62701416015625], [451.3498840332031, 634.38720703125, 62.7236328125, 82.318603515625], [797.1700439453125, 513.2830810546875, 68.7763671875, 86.6661376953125], [672.6173706054688, 308.0159912109375, 74.1922607421875, 87.5296630859375], [229.19351196289062, 632.3763427734375, 62.6324462890625, 77.759033203125], [565.949951171875, 628.3289184570312, 69.085693359375, 83.9906005859375], [790.5731201171875, 302.29547119140625, 64.113525390625, 82.0223388671875], [217.4442138671875, 535.0422973632812, 65.28546142578125, 92.9007568359375], [1016.40478515625, 599.3757934570312, 55.105712890625, 80.9322509765625], [683.808349609375, 623.5411376953125, 72.461181640625, 86.2991943359375], [337.5374755859375, 632.64306640625, 60.56787109375, 79.740478515625]]","[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
3,"[[433.18634033203125, 318.239501953125, 68.5452880859375, 86.753173828125], [907.5542602539062, 404.57379150390625, 67.05810546875, 82.7869873046875], [681.8062133789062, 518.0408935546875, 71.1766357421875, 91.46121215820312], [210.78358459472656, 432.3008117675781, 63.67333984375, 82.7445068359375], [208.90618896484375, 334.05841064453125, 63.93084716796875, 86.1761474609375], [440.64215087890625, 528.8486938476562, 68.0380859375, 87.529052734375], [912.1588745117188, 608.8525390625, 66.212158203125, 83.096923828125], [555.48095703125, 417.429443359375, 72.3642578125, 87.7021484375], [904.241455078125, 298.6513671875, 63.9111328125, 85.0477294921875], [317.691162109375, 428.0315856933594, 72.211181640625, 83.91015625], [1018.3851318359375, 498.3538818359375, 62.390380859375, 85.597412109375], [559.6358642578125, 525.7182006835938, 69.27783203125, 91.8387451171875], [1012.2918701171875, 293.67657470703125, 58.87109375, 86.265625], [434.0701904296875, 423.8888854980469, 70.62322998046875, 91.06036376953125], [912.8724365234375, 507.6893310546875, 68.064208984375, 85.9564208984375], [675.15869140625, 414.86566162109375, 69.814697265625, 85.7481689453125], [326.05230712890625, 531.5650634765625, 68.1273193359375, 85.21728515625], [792.1962890625, 407.5691833496094, 68.077880859375, 88.928466796875], [1016.6718139648438, 397.5714111328125, 61.2408447265625, 86.4010009765625], [553.5516357421875, 312.735595703125, 69.906005859375, 85.3509521484375], [799.2081298828125, 619.6322021484375, 67.0419921875, 84.6046142578125], [317.03948974609375, 323.9239501953125, 67.2803955078125, 86.388427734375], [797.3226318359375, 513.22802734375, 69.120361328125, 86.78518676757812], [451.30059814453125, 634.4424438476562, 62.7005615234375, 82.210205078125], [672.5025024414062, 307.9858703613281, 73.8880615234375, 87.34393310546875], [229.25436401367188, 632.3138427734375, 62.86968994140625, 77.7591552734375], [566.0062255859375, 628.3193359375, 69.0301513671875, 84.001708984375], [790.5853271484375, 302.34661865234375, 64.107177734375, 82.2640380859375], [217.49932861328125, 534.9847412109375, 65.28118896484375, 92.6553955078125], [1016.3615112304688, 599.2935791015625, 55.2366943359375, 80.92919921875], [683.8035278320312, 623.50341796875, 72.4473876953125, 86.2314453125], [335.8125915527344, 633.2554931640625, 63.28326416015625, 82.25048828125]]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
4,"[[907.8125, 404.678466796875, 67.649169921875, 83.3853759765625], [433.01953125, 318.15771484375, 68.5750732421875, 86.8514404296875], [681.729736328125, 517.7113037109375, 70.8682861328125, 91.03683471679688], [210.55528259277344, 432.33624267578125, 63.56396484375, 82.975830078125], [208.81724548339844, 334.733642578125, 64.11236572265625, 87.3470458984375], [1018.4796142578125, 498.33001708984375, 62.528564453125, 85.4503173828125], [555.4501342773438, 417.4945068359375, 72.0023193359375, 87.5828857421875], [440.5469665527344, 529.0958251953125, 68.17901611328125, 87.60250854492188], [904.3037109375, 298.5001220703125, 63.913330078125, 84.7777099609375], [1012.321533203125, 293.397705078125, 59.176025390625, 86.8365478515625], [911.9837646484375, 608.905029296875, 65.850341796875, 83.0084228515625], [326.178955078125, 531.86572265625, 67.2681884765625, 85.0263671875], [317.8603210449219, 427.97833251953125, 72.25390625, 84.1168212890625], [792.3712158203125, 408.189208984375, 68.22119140625, 88.4287109375], [434.02386474609375, 423.71527099609375, 70.80206298828125, 91.0679931640625], [559.598388671875, 525.33056640625, 69.025390625, 91.49609375], [674.9887084960938, 415.00738525390625, 69.8450927734375, 85.865234375], [317.0075988769531, 323.82928466796875, 67.3541259765625, 86.6358642578125], [912.9005737304688, 507.8333740234375, 68.1971435546875, 86.55593872070312], [1016.7442626953125, 397.71282958984375, 61.27685546875, 86.923583984375], [799.5095825195312, 619.8209228515625, 67.497314453125, 84.57666015625], [553.4378051757812, 312.72314453125, 70.2945556640625, 85.3211669921875], [451.3631896972656, 634.3240356445312, 63.14373779296875, 82.35400390625], [229.259765625, 632.2491455078125, 62.70843505859375, 78.00146484375], [797.0389404296875, 513.2304077148438, 68.591796875, 86.6011962890625], [565.770751953125, 628.45166015625, 69.2978515625, 83.9794921875], [672.6097412109375, 307.7518615722656, 74.474365234375, 86.63214111328125], [790.597412109375, 302.289794921875, 64.279296875, 82.31317138671875], [217.25772094726562, 534.9778442382812, 65.01165771484375, 92.366943359375], [1016.0098876953125, 599.4410400390625, 55.16259765625, 81.1988525390625], [335.51446533203125, 633.7205810546875, 64.2532958984375, 82.04150390625], [683.7052612304688, 623.3114013671875, 72.5880126953125, 86.637451171875]]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
5,"[[907.9019165039062, 404.67919921875, 67.6783447265625, 83.1038818359375], [432.952392578125, 318.06805419921875, 68.59735107421875, 86.95391845703125], [681.581787109375, 517.83154296875, 70.82275390625, 90.31155395507812], [210.74417114257812, 432.59320068359375, 63.95068359375, 83.0218505859375], [904.3384399414062, 298.4333190917969, 63.86572265625, 85.00286865234375], [440.4417724609375, 529.32666015625, 67.97314453125, 87.46945190429688], [912.13330078125, 608.9283447265625, 66.038330078125, 83.125732421875], [1018.2039794921875, 498.87744140625, 61.940185546875, 85.288818359375], [316.74041748046875, 323.7939453125, 67.377685546875, 86.5181884765625], [208.63003540039062, 333.88214111328125, 64.2200927734375, 86.9794921875], [792.313720703125, 408.4200744628906, 68.218994140625, 88.50250244140625], [317.88739013671875, 427.9400634765625, 71.7314453125, 83.7908935546875], [326.31805419921875, 531.865966796875, 67.123046875, 85.17724609375], [555.046875, 417.281005859375, 71.421142578125, 87.30462646484375], [1012.3355712890625, 294.17559814453125, 58.952392578125, 85.444091796875], [434.1535949707031, 423.87799072265625, 70.65179443359375, 90.9720458984375], [675.0889892578125, 415.0234375, 69.881103515625, 85.53253173828125], [912.810791015625, 507.91455078125, 67.8759765625, 85.8812255859375], [800.0079345703125, 619.8400268554688, 65.4613037109375, 84.882080078125], [559.8189086914062, 525.6256103515625, 69.6402587890625, 91.10543823242188], [565.9869384765625, 628.4398193359375, 68.661865234375, 83.5751953125], [229.33953857421875, 631.7160034179688, 62.41656494140625, 78.850830078125], [1016.39306640625, 397.46221923828125, 61.298828125, 86.17822265625], [451.3672790527344, 634.343017578125, 63.6416015625, 82.602294921875], [553.5841064453125, 312.88720703125, 70.12939453125, 85.6187744140625], [796.921875, 513.83740234375, 69.2109375, 86.43673706054688], [672.4393310546875, 307.85919189453125, 73.885498046875, 86.510986328125], [790.3622436523438, 302.290771484375, 63.8126220703125, 82.58795166015625], [1015.5979614257812, 599.23876953125, 56.1964111328125, 81.255615234375], [217.210205078125, 535.2781982421875, 64.9495849609375, 92.174072265625], [335.42889404296875, 633.986083984375, 64.59912109375, 81.997314453125], [683.3184814453125, 621.7992553710938, 72.967041015625, 82.977294921875]]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]"
6,"[[907.8975219726562, 404.31903076171875, 67.7618408203125, 83.212890625], [432.9799499511719, 317.87615966796875, 68.28045654296875, 86.9659423828125], [681.669921875, 518.1756591796875, 71.2734375, 90.53173828125], [316.6768493652344, 323.72552490234375, 67.29925537109375, 86.4248046875], [210.78977966308594, 432.59857177734375, 64.13577270507812, 83.2818603515625], [912.1508178710938, 608.9307250976562, 65.9603271484375, 83.1357421875], [208.89942932128906, 333.9713134765625, 63.977142333984375, 85.9752197265625], [1018.239013671875, 498.9501953125, 61.88720703125, 84.7025146484375], [792.393798828125, 408.3337707519531, 68.462890625, 88.15252685546875], [800.0518188476562, 619.9700927734375, 64.50732421875, 85.00146484375], [1012.2830200195312, 294.54443359375, 58.9029541015625, 84.54876708984375], [904.3685302734375, 298.5882263183594, 64.002685546875, 84.65765380859375], [440.28753662109375, 529.3969116210938, 67.810302734375, 87.1572265625], [434.149169921875, 423.99676513671875, 70.67803955078125, 91.0474853515625], [554.8779296875, 417.18255615234375, 71.646728515625, 87.5450439453125], [317.86968994140625, 427.89013671875, 71.722412109375, 83.8724365234375], [566.4044189453125, 628.3255615234375, 67.127197265625, 81.699462890625], [1016.2584838867188, 397.0635070800781, 61.1531982421875, 85.36773681640625], [326.2656555175781, 531.68798828125, 67.04278564453125, 84.914306640625], [912.7998046875, 507.43463134765625, 67.51171875, 85.4432373046875], [675.112548828125, 415.03790283203125, 69.4490966796875, 85.29833984375], [559.9660034179688, 525.4404296875, 69.521484375, 90.66134643554688], [229.26766967773438, 631.8690185546875, 62.7041015625, 78.410888671875], [553.5299072265625, 312.82513427734375, 70.3134765625, 85.9378662109375], [1015.7178955078125, 599.1196899414062, 54.982421875, 80.086669921875], [450.8924560546875, 634.3590087890625, 63.5677490234375, 82.3104248046875], [796.8220825195312, 513.7926025390625, 68.4420166015625, 86.0203857421875], [672.7073974609375, 307.802001953125, 74.039794921875, 86.89697265625], [790.5714111328125, 302.5270080566406, 64.133544921875, 82.84661865234375], [335.55780029296875, 634.36962890625, 64.9810791015625, 82.262451171875], [217.3466796875, 535.4725341796875, 65.15142822265625, 91.8255615234375], [683.64306640625, 621.8184814453125, 74.2705078125, 83.004150390625]]","[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7,"[[907.7279663085938, 404.33795166015625, 67.375, 83.321044921875], [210.71409606933594, 432.7415771484375, 63.851318359375, 83.5030517578125], [432.84869384765625, 317.80584716796875, 68.27294921875, 86.9052734375], [208.8731689453125, 334.2541809082031, 64.02911376953125, 85.35101318359375], [681.435302734375, 518.3436889648438, 70.609619140625, 90.4998779296875], [912.1229248046875, 608.8338623046875, 65.8018798828125, 82.78564453125], [316.9734191894531, 323.8367004394531, 67.87176513671875, 86.2607421875], [318.15399169921875, 427.91766357421875, 71.060546875, 83.685546875], [1018.1061401367188, 498.9759521484375, 61.7200927734375, 84.250244140625], [326.42431640625, 531.5884399414062, 66.65283203125, 85.1605224609375], [433.8556823730469, 423.95697021484375, 70.276123046875, 90.93505859375], [1012.2257080078125, 294.94879150390625, 58.90380859375, 84.1650390625], [566.100830078125, 628.2570190429688, 67.0, 81.261474609375], [800.0672607421875, 619.86328125, 64.81787109375, 84.7977294921875], [440.13995361328125, 529.1514892578125, 67.810791015625, 86.91891479492188], [792.4805908203125, 407.90203857421875, 68.494384765625, 88.9251708984375], [554.8075561523438, 417.0784912109375, 71.7725830078125, 87.3907470703125], [675.2005004882812, 414.875, 68.9322509765625, 85.2899169921875], [912.9763793945312, 506.24542236328125, 69.6151123046875, 85.162109375], [1016.030029296875, 396.6365966796875, 60.816162109375, 84.490966796875], [904.3616943359375, 298.32330322265625, 63.99560546875, 84.3865966796875], [553.65673828125, 312.83331298828125, 69.994384765625, 86.031494140625], [559.9600830078125, 525.6177368164062, 69.21484375, 90.490234375], [229.34425354003906, 631.846923828125, 62.696380615234375, 78.882080078125], [1015.983154296875, 599.0780029296875, 54.677001953125, 80.4375], [448.6116027832031, 632.9019775390625, 69.48004150390625, 80.261474609375], [796.253173828125, 514.0593872070312, 68.054443359375, 85.9447021484375], [672.5634765625, 307.8114318847656, 73.459716796875, 86.8216552734375], [790.5845947265625, 302.78533935546875, 64.2769775390625, 81.92694091796875], [335.373779296875, 634.4903564453125, 64.9281005859375, 82.32080078125], [683.918212890625, 621.9328002929688, 74.94091796875, 82.9366455078125], [217.23121643066406, 534.7235107421875, 64.74786376953125, 91.17529296875]]","[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
8,"[[907.7080078125, 404.32330322265625, 67.3125, 83.1634521484375], [210.53546142578125, 432.63128662109375, 63.732696533203125, 84.1524658203125], [432.8939208984375, 317.57269287109375, 68.269775390625, 86.81005859375], [209.1187744140625, 333.7476806640625, 63.7869873046875, 85.1578369140625], [912.19189453125, 608.78466796875, 65.94580078125, 83.0712890625], [316.7922668457031, 323.6971435546875, 67.83599853515625, 85.99560546875], [681.358154296875, 518.412109375, 70.92529296875, 90.21337890625], [318.10693359375, 427.9270324707031, 70.6685791015625, 83.4901123046875], [326.28680419921875, 531.6590576171875, 66.7322998046875, 84.800537109375], [792.3726196289062, 408.40557861328125, 68.1856689453125, 88.510009765625], [566.0233154296875, 628.2886962890625, 67.66748046875, 81.174560546875], [1016.0047607421875, 396.20953369140625, 60.979736328125, 84.0782470703125], [912.4714965820312, 506.0269775390625, 69.28857421875, 84.6861572265625], [433.919189453125, 423.97076416015625, 70.1640625, 90.6243896484375], [1018.0699462890625, 498.8148193359375, 62.007080078125, 84.20266723632812], [440.09637451171875, 528.9595947265625, 67.6756591796875, 86.7220458984375], [554.8496704101562, 417.06988525390625, 71.255615234375, 87.586669921875], [1012.1812744140625, 295.028076171875, 58.759033203125, 83.9732666015625], [675.161865234375, 414.92236328125, 68.955078125, 85.1842041015625], [904.3753662109375, 298.4742431640625, 64.084228515625, 84.15277099609375], [799.991455078125, 619.48681640625, 63.281494140625, 83.08349609375], [553.7891845703125, 312.8333435058594, 69.638916015625, 86.18975830078125], [559.2775268554688, 525.2384033203125, 71.614990234375, 86.180419921875], [229.3380889892578, 631.99169921875, 62.879180908203125, 78.51025390625], [1016.721435546875, 598.42333984375, 53.852783203125, 79.858642578125], [448.8022155761719, 632.544921875, 69.51806640625, 81.6002197265625], [672.7780151367188, 308.0661926269531, 73.8677978515625, 87.09088134765625], [790.42529296875, 302.81109619140625, 63.947021484375, 81.4293212890625], [683.5771484375, 621.8487548828125, 74.314453125, 82.6995849609375], [335.32421875, 634.591552734375, 65.322265625, 82.6541748046875], [796.1561279296875, 513.9540405273438, 67.896240234375, 86.0494384765625], [217.29283142089844, 534.5339965820312, 64.5362548828125, 90.264404296875]]","[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
9,"[[907.61962890625, 404.47515869140625, 66.964599609375, 82.86163330078125], [210.47732543945312, 432.88250732421875, 63.51849365234375, 84.8511962890625], [209.05862426757812, 333.92974853515625, 63.77691650390625, 84.85272216796875], [432.9068603515625, 317.60205078125, 68.2086181640625, 86.8406982421875], [912.147705078125, 608.732666015625, 65.9638671875, 83.11083984375], [316.8349609375, 323.7527770996094, 67.9158935546875, 86.1368408203125], [681.53271484375, 518.6207275390625, 71.266357421875, 90.1614990234375], [318.25872802734375, 428.020263671875, 70.7869873046875, 83.24462890625], [1018.2037353515625, 498.98321533203125, 61.820068359375, 84.4754638671875], [792.533447265625, 408.54180908203125, 68.1451416015625, 88.09649658203125], [326.2044372558594, 531.7052612304688, 66.73126220703125, 84.9920654296875], [565.9759521484375, 628.341552734375, 67.450439453125, 81.1632080078125], [1015.9197998046875, 396.2403564453125, 60.9443359375, 84.0018310546875], [1012.2234497070312, 294.9228210449219, 59.0582275390625, 83.91009521484375], [433.8923034667969, 424.0845947265625, 70.3043212890625, 90.8284912109375], [554.56494140625, 417.3951721191406, 71.2822265625, 87.86627197265625], [799.769287109375, 619.5316162109375, 64.52978515625, 83.1754150390625], [440.15594482421875, 528.5, 67.8309326171875, 86.8558349609375], [675.0460205078125, 414.89764404296875, 69.28369140625, 85.1217041015625], [912.7630004882812, 505.94781494140625, 70.1016845703125, 84.6090087890625], [553.7763671875, 312.79486083984375, 69.40966796875, 86.1904296875], [904.4324951171875, 298.4698791503906, 64.1845703125, 84.2940673828125], [229.4328155517578, 631.1513061523438, 62.814849853515625, 80.288818359375], [559.3125, 525.069580078125, 71.391357421875, 86.595947265625], [1016.5086669921875, 598.4276123046875, 54.197021484375, 79.6767578125], [450.92889404296875, 634.1781616210938, 63.68878173828125, 82.9635009765625], [673.0244140625, 308.2977294921875, 74.0927734375, 87.6270751953125], [790.3211669921875, 302.948974609375, 63.67919921875, 81.5211181640625], [683.4136962890625, 621.8740234375, 73.818115234375, 82.61865234375], [335.32867431640625, 634.4168701171875, 65.3912353515625, 82.607177734375], [796.430419921875, 513.91357421875, 68.376708984375, 85.66357421875], [217.3008575439453, 534.2251586914062, 64.6685791015625, 90.1029052734375]]","[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
10,"[[907.59130859375, 404.3269958496094, 66.777099609375, 83.07073974609375], [210.43014526367188, 432.4978332519531, 63.775634765625, 85.45208740234375], [432.9598083496094, 317.6700439453125, 68.14520263671875, 86.8592529296875], [209.14761352539062, 333.7689208984375, 63.70355224609375, 84.87109375], [912.2569580078125, 608.8025512695312, 66.0892333984375, 83.4385986328125], [680.2506713867188, 519.3997192382812, 71.3966064453125, 89.1124267578125], [1018.0238037109375, 498.8614501953125, 61.715576171875, 84.02099609375], [318.119873046875, 428.02978515625, 70.6531982421875, 83.0025634765625], [792.4132080078125, 408.2796630859375, 68.05517578125, 87.80767822265625], [326.326171875, 531.7369384765625, 66.42901611328125, 84.880859375], [316.82965087890625, 323.7154846191406, 67.9228515625, 86.16876220703125], [565.97607421875, 628.3839721679688, 67.7451171875, 81.52880859375], [554.509765625, 417.5361633300781, 70.967529296875, 88.11920166015625], [799.7913818359375, 619.5092163085938, 64.5341796875, 82.9752197265625], [1015.9359130859375, 396.3134765625, 61.00830078125, 83.985595703125], [433.8847961425781, 424.2144775390625, 70.59027099609375, 91.22412109375], [229.3225860595703, 631.2117919921875, 62.680389404296875, 80.226318359375], [675.203369140625, 414.8277893066406, 68.954345703125, 85.013916015625], [1012.10546875, 294.8441467285156, 58.99951171875, 84.043212890625], [904.4379272460938, 298.33837890625, 64.2567138671875, 84.2498779296875], [912.6446533203125, 505.9112548828125, 69.630126953125, 84.25759887695312], [553.9176635742188, 312.8450012207031, 69.3546142578125, 86.22955322265625], [1016.0222778320312, 598.7420043945312, 55.1864013671875, 80.2037353515625], [440.1824951171875, 528.5465698242188, 67.8282470703125, 86.8856201171875], [559.4592895507812, 524.717041015625, 71.318359375, 86.370849609375], [448.7767333984375, 632.6461181640625, 69.3939208984375, 81.6552734375], [672.9541015625, 308.30853271484375, 74.1417236328125, 87.57861328125], [790.3885498046875, 302.9244689941406, 63.743408203125, 81.49896240234375], [683.398193359375, 621.7649536132812, 74.0357666015625, 82.84033203125], [335.1593017578125, 634.5303955078125, 65.718505859375, 82.8206787109375], [796.2740478515625, 513.8436889648438, 68.2281494140625, 85.68896484375], [217.44955444335938, 533.6793212890625, 64.76806640625, 88.8837890625]]","[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
